,block_number,from_address,to_address,isERC20
39389584,12156900,0x485b9a41e8bf06e57bb64c6ba7cb04f9d53d2d76,0x9f19212041ea291540a5a6968485c7d5c1f9c352,False
9688718,6741960,0x4f01001cf69785d4c37f03fd87398849411ccbba,0xc8c791ce972df3a4b64735920cff49ab4568ac89,False
30616746,10810450,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x87c886343d7b2e865e1aa92bfb166ec8377ded6a,False
37012468,11565192,0xf6874c88757721a02f47592140905c4336dfbc61,0xcabd9e30798c15fe89988fc587a225a1e3009a1e,False
29173339,10658642,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x6df741fafccb24198b877348ae93e98af8c5b477,False
34704210,11218069,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x76b58dc0e441ef386369659e427edf788f1bcd17,False
42946423,12573138,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x167297ea71bec2bad0341888ab95cfcd0c4f135b,False
27289946,10389030,0x000000000000006f6502b7f2bbac8c30a3f67e9a,0xcb5502a96b2d898421f3aee6d565c4b70bab2a3f,False
22400095,9595102,0x0000000000b3f879cb30fe243b4dfee438691c04,0xfb42d7ccec11e210a76197c20ef1c0ff041d19f1,False
4497205,4961852,0x0000000000b3f879cb30fe243b4dfee438691c04,0xf3ffe567948566640b758df1495c06ef81601f42,False
38373947,11897426,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x4b70a1b2cd66169eba233bd0c91e925bb02424ef,False
27830598,10434385,0x0000000000b3f879cb30fe243b4dfee438691c04,0x350eccc4268494f4c23d206caffb2d7bb8a0be0c,False
44654033,12674589,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x46b1a37abd895294d5c94b4381af2d8d6d90d7fc,False
37721960,11765563,0xa24787320ede4cc19d800bf87b41ab9539c4da9d,0x68dbfee1fdb80a6f85f4b3f98a034aa22eada1a8,False
16187552,7981922,0x0000000000085d4780b73119b644ae5ecd22b376,0xa3df730b3adcbf2d05b38fe3f7e915443c312146,False
20826464,9255220,0x0000000000b3f879cb30fe243b4dfee438691c04,0x147e46dde326a1d0a0ac15e38a2c9faa080251ef,False
32370790,11032636,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x6de143ff9d563dcbd6c23d2376b7a840e4f742c4,False
21534675,9421442,0x0000000000b3f879cb30fe243b4dfee438691c04,0x397b2fb1662e66c75729dea2fc4b7c2d6ab489e5,False
36892996,11518744,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x440857f43def4777163f57671ce9675ff4bfa404,False
33513630,11116343,0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x3ddb8320b19b6adae13ca5a281f89204fdb63cb3,False
5953333,5381295,0x0000000000b3f879cb30fe243b4dfee438691c04,0x32a2d4ee62e8aa981e71ae18b16efa2e03c65610,False
16200618,7983821,0x0000000000085d4780b73119b644ae5ecd22b376,0xc1e6ed33df2f920613bdc623b8ad56738a910060,False
